	Titel	Datum
0	Akte van overdracht door Wilhelmus ten Kirchof de Hese c.s. aan Martinus Vastrardide Vleytingen, bakker van het kapittel, van een mark jaarcijns op een huis op de hoek van de Scharwyerruwe, 1400 augustus 27. reg. Doppler Schep. nr. 1035	01-01-1035
2	"Akte van uitgifte in erfpacht door Heylwyc, weduwe Johan in den Hoff, c.s. aan deken Everard van Reijs van een hofstede in de straat ""achter dat cleijne rueken van Sint Johan"" voor 32 schellingen en drie en een halve kapoen jaarcijns, 1401 januari 4. Akte van aflossing door de deken aan Heylwyc van tien schellingen van genoemde jaarcijns, 1401 januari 5. reg Doppler Schep nrs 1036, 1037"	01-01-1036
