	Titel	Datum
0	Akte van overdracht door Johan Hoen van Kartyls aan de stichting De Beyart van achttien vaten rogge en anderhalve mud spelt grondrente op landerijen te Kanne, 1417 april 6. afgedrukt bij Doppler Schep. nr. 1185	01-01-1185
2	Akte waarbij paus Urbanus III de kerk van Onze-Lieve-Vrouw in alle bezittingen bevestigt en onder de bescherming van de H.Stoel plaatst met afschriften, 1186	1186
4	Akte van overdracht door de uitvoerders van het testament van kanunnik Andryes Zuderman aan het kapittel van twee marken, een schelling en dertien kapoenen jaarcijns op twee huizen in de Grote en Kleine Looiersstraat, voor het jaargetijde van genoemde kanunnik Andryes Zuderman. Met retroacta, 1417., 1419 juli 27. reg. Doppler Schep. nrs. 1188, 1186-1187	01-01-1186
6	Akte van schenking door Bavenkendis van enige horigen aan het kapittel, 1185	1185
8	Akte van schenking door Arnoldus Scapekin van enige horigen aan het kapittel, 1186	1186
10	Overeenkomst tussen proost en kapittel en het klooster te Elten over de collatie bij toerbeurt van het personaat van Naardingerland, (1176-1186)	1176
