	Titel	Datum
0	Bul voor Hector Livius van Haersma wegens het behalen van de doctors-graad in de rechten aan de universiteit van Groningen, 1746; met aanhangend zegel.	01-01-1746
2	Akte waarbij de Staten-Generaal Jacob Pezijn benoemen tot kapitein ter zee van het College ter Admiraliteit in Zeeland, 1746	01-01-1746
4	Akte van benoeming tot Raad ter Admiraliteit, 1745	01-01-1745
6	Huwelijkscontract tussen Johan Willeni Stachouwer, medeheer van Schiermonnikoog, en Anna Cornelia de Jong van Persijn. In triplo. 1745	01-01-1745
8	Idem tot kolonel-commandant en majoor-effectief in het regiment van de prins van Birkenfelt	1746
10	Idem tot kolonel-commandant, gegeven door de Staten-Generaal	1746
12	Idem tot majoor-effectief, gegeven door de Staten-Generaal	1746
14	westzijde Blekerslaan een blok huizen van 3 woningen, Zegel Philippus Matthias Mestre. Johanna van Haringvliet.	1746
16	zuidzijde Zuid Oost Buitensingel, Cornelis Mansvelt	1745
18	Akte van belening van Gerrit Coops met enkele goederen onder Verwolde, 1746. 1 charter	1746
20	Den Andel, 1745	1745
22	Wierhuizen, 1746 okt 3	1746 okt 3
24	Huwelijkscontract tussen Herman Wolthers, zoon van wijlen Wolter Wolthers en wijlen Clara van Buttinga, en Louisa Christina Conring, dochter van Andreas Conring en wijlen Christina Elisabeth Sichterman, 1746	1746
26	Akte, waarbij B.E. Withoff en Agatha Margaretha van Berendrecht, echtelieden, verklaren ontvangen te hebben het restant van de koopsom van Jan Hiltjes en Ellegien Rosema, wegens de koop van het huis Pelsterstraat westzijde in 1746 door de weduwe Jan Weytring, 1750. Met retroactum, 1746	1746
28	Akte van aanstelling door de Staten-Generaal van Frederik Willem van Reede tot lid van de Raad van State, 1745 mei 28	1745 mei 28
30	Akten van aanstelling door de Staten van Utrecht en de Staten-Generaal van Frederik Willem van Reede tot raad van de admiraliteit van Westfriesland en het Noorderkwartier, 1746	1746
32	Akte van belening door Henriette van Nassau-Zuylestein van Gerrit de Ridder met de tijnsweer van een hofstede en 16 morgen land aan de Lekdijk, 1746 sept. 3	1746
34	Akte van transport door Marretje Willems, weduwe van Adam Thijsz., aan Abraham Hulk Jacobsz. van een huis met erf, gelegen op Bickerseiland, vooraan in de Bickersstraat, genaamd het Waapen van Muijden, te Amsterdam, 1745	01-01-1745
36	Acte van overdracht van diverse goederen onder Loenen aan Gerard van Brienen en Johanna Hendrina van Brienen, weduwe van Johan Otters, 1681-1745. 3 charters en 11 omslagen	01-01-1681
38	Verleibrief van de portiën verbeterde grafelijke tienden, bedoeld bij de nummers 1 en 2, toekomend aan Anthony Huysman, 1745. 1 charter	1745
