	Titel	Datum
0	Acte, waarbij hertog REINALD aan richter en schepenen van Arnhem opdraagt, de stad Culemborg in hofvaart te ontvangen, 1343. Met stukken betreffende een tweetal zaken, als gevolg van dit privilegie aan de stad voorgelegd, 1494, 1495. 1 charter en 1 omslagN.B. (Regesten 89, 1116, 1129, 1161, 1181, 1202, 1204, 1212). De twee genoemde zaken betreffen een geschil tusschen ENGBERT JANSZ. en het klooster St. Marienkroon te Culemborg d.d. 1494, en een geschil tusschen JAN SPLINTERSZ., optredende namens zijne vrouw, en haar zuster over de verdeeling van de erfenis van haar vader HUBERT, d.d. 1495.	01-01-1116
2	Brieven van machtiging voor de gedeputeerden der Staten Generaal naar de koning van Frankrijk. 1584 november 16	01-01-1116
4	Akte van bevestiging door bisschop Godebald van de schenking door bisschop Burchard aan het kapittel van de hof vóór de burgt, 1116 (jan. 6-april 15)	1116
