	Titel	Datum
0	Stad Edam charters opgeborgen in de charterberging. De beschrijvingen staan in de inventarissen van de archieven	0.0
2	Akte van overeenkomst tussen de erfgenamen van Adriaen van der Leck en Doe Arentsz. over het onderhoud van een muur tussen hun huizen, perkament, 154. februari 27	0.0
4	Registers en stukken betreffende leen-en lijfgewinnen	0.0
6	Adolph van Mervelt, heer zu Merfeldt, en zijn vrouw Johanna van Dorth verklaren, dat de hun door Pancraes van Groenen en diens zuster Clara, weduwe Van Arnhem, vergunde weg van zijn huis Hardenbergh naar Ulft over het goed Dorvorst geen gemeene weg is. Datum am Sondach Letare anno etc. sestigh. Afschrift van een vidimus door hun kleinzoon Willem Jacob van den Boetzeler toe Toutenburgh, landdrost van het graafschap Berg. (Inv. no. 4027).	0.0
8	"Verslag van een door prof. Gerretson gehouden toespraak over ""Het charter van het Nederlandse fascisme"". Ongedateerd, zonder datum."	0.0
10	"""Text of the Charter of the International Military Tribunal for the Far East"" met een ""Interpretation of the Charter"". (fotokopiëen), zonder datum."	0.0
12	Oud nummer 3.01.27.01:: 5869. Verspreide Charters I-II, 170, 432, 491	0.0
14	Oud nummer 3.01.27.01:: 5870. Verspreide Charters 1 -49	0.0
16	Oud nummer 3.01.27.01:: 5871. Verspreide Charters 50-75, 393	0.0
18	Oud nummer 3.01.27.01:: 5872. Verspreide Charters 76-110, 196	0.0
20	Oud nummer 3.01.27.01:: 5873. Verspreide Charters 111-140	0.0
22	Oud nummer 3.01.27.01:: 5874. Verspreide Charters 141-190	0.0
24	Oud nummer 3.01.27.01:: 5875. Verspreide Charters 191-230	0.0
26	Oud nummer 3.01.27.01:: 5876. Verspreide Charters 231-360	0.0
28	Oud nummer 3.01.27.01:: 5877. Verspreide Charters 361-400	0.0
30	Oud nummer 3.01.27.01:: 5878. Verspreide Charters 401-440	0.0
32	Oud nummer 3.01.27.01:: 5879. Verspreide Charters 442-49-	0.0
34	Oud nummer 3.01.27.01:: 5880. Verspreide Charters 481-520	0.0
36	Oud nummer 3.01.27.01:: 5881. Verspreide Charters 521-555	0.0
38	Oud nummer 3.01.27.01:: 5882. Verspreide Charters 556-635	0.0
