	1005	1015	1025	1035	1045	1055	1065	1075	1085	1095	1105	1115	1125	1135	1145	1155	1165	1175	1185	1195	1205	1215	1225	1235	1245	1255	1265	1275	1285	1295	1305	1315	1325	1335	1345	1355	1365	1375	1385	1395	1405	1415	1425	1435	1445	1455	1465	1475	1485	1495	1505	1515	1525	1535	1545	1555	1565	1575	1585	1595	1605	1615	1625	1635	1645	1655	1665	1675	1685	1695	1705	1715	1725	1735	1745	1755	1765	1775	1785	1795	1805	1815	1825	1835	1845	925	935	945	955	965	975	985	995
1136														3.0																																																																															
113r																																																		1.0																																											
1145															2.0																																																																														
1145-1147															1.0																																																																														
1146															3.0																																																																														
1146.															1.0																																																																														
1147																																																		1.0																																											
1148															1.0																																																																														
115																									1.0															1.0																																																					
1152															1.0																																																																														
1155								1.0								5.0																																																																													
1156																4.0																																																																													
1157																1.0																																																																													
1160															1.0																																																																														
1161												1.0																																																																																	
1165																	4.0																																																																												
1166																	1.0																																																																												
116r																																													1.0																																																
117																																																									1.0																																				
1173			1.0															1.0																																																																											
1175																		4.0																																																																											
1176																		5.0																																																																											
1176-1186																		1.0	1.0																																																																										
1178								1.0																																																																																					
118																																																									1.0																																				
1181												1.0																																																																																	
1185																			2.0																																																																										
1186																			2.0																																																																										
1186-1187																			1.0																																																																										
1188																			1.0																																																																										
118v																																																		1.0																																											
119																																																									1.0																																				
1195																				2.0																																																																									
1196																				7.0																																																																									
1196-1197																				1.0																																																																									
11schepenen																																											1.0																																																		
12			1.0					1.0															1.0						1.0			1.0	2.0	2.0	1.0	1.0				5.0	1.0				2.0		1.0		2.0	2.0		1.0			1.0		1.0	1.0	1.0	1.0																																	
12.			1.0																												1.0											1.0															1.0																																				
12.000																																								1.0																																																					
120																																			2.0						2.0	1.0	1.0							1.0																																											
1200																													1.0																																																																
1202												1.0																																																																																	
1203-1216																						1.0																																																																							
1204												1.0																																																																																	
1205																					4.0																																																																								
1206																					3.0																																																																								
1209																								1.0																																																																					
121																																			1.0				1.0	2.0			1.0	3.0			1.0		1.0								1.0																																				
1212												1.0																																																																																	
1215																						9.0																																																																							
1216																						1.0																																																																							
122																																																									1.0																																				
1220																							1.0				2.0																																																																		
1225																							5.0																																																																						
1226																							4.0																																																																						
1226.																							1.0																																																																						
1227																									1.0																																																																				
122r																																										1.0																																																			
123																																		1.0																																																											
1230																								1.0																																																																					
1232																									1.0																																																																				
1234																									1.0			1.0																																																																	
1235																								6.0																																																																					
1236																						1.0		7.0																																																																					
1240																																																																												1.0																	
1243																																																	1.0																																												
1245																									2.0																																																																				
1246																									3.0	2.0																																																																			
124rkopie																																															1.0																																														
125																																								1.0																		1.0																																			
1255																										9.0																																																																			
1255-1264.																										1.0																																																																			
1256																										11.0				1.0																																																															
1256.																										2.0																																																																			
1257																										3.0																																																																			
125928																																																		1.0																																											
125r																																									1.0																																																				
1260																																2.0																																																													
1261																											1.0																																																																		
1263.																	1.0																																																																												
1264-1265																											1.0																																																																		
1265																											7.0																																																																		
1265.																											1.0																																																																		
1266																		1.0									7.0																																																																		
1266-09-04																											1.0																																																																		
1266-1270																											1.0																																																																		
1266authentieke																											1.0																																																																		
1267																												1.0																																																																	
127-128regest																																		1.0																																																											
127.																							1.0																																																																						
1271																												1.0																																																																	
1273																						1.0																																																																							
1275															1.0													7.0																																																																	
1275-1288																												1.0																																																																	
1276																												10.0																																																																	
1276.																												1.0																																																																	
1277.			1.0																																																																																										
1279																																		1.0																																																											
1279/1431															1.0																																																																														
128																																	1.0																																																												
1280																																		1.0																																																											
1281																															2.0																																																														
1282																														1.0																																																															
1284							1.0																																																																																						
1285																6.0													10.0									1.0																																																							
1286																													10.0																																																																
1286.																													5.0																																																																
1287																																1.0																																																													
1288																											1.0																																																																		
129																																	1.0																																																												
1292																											1.0																																																																		
1293																																							1.0																																																						
1293.			1.0																																																																																										
1295																														6.0	2.0																																																														
1295-1636																														1.0																																																															
1295.																														1.0																																																															
1296			1.0															1.0								1.0				10.0	2.0					2.0																																																									
1296.			1.0																																																																																										
1297																														1.0	1.0																																																														
1297.																														1.0	1.0																																																														
1298																															2.0																																																														
1299-1468.																									1.0																																																																				
12v																																																												2.0																																	
13					1.0																					3.0		2.0	1.0			1.0	1.0	3.0	1.0		1.0			1.0	1.0	2.0	1.0		1.0				3.0		1.0			2.0	1.0		2.0										2.0		2.0					1.0					1.0														
13.								1.0																						1.0						2.0																																																									
1302																														2.0	2.0																																																														
1304																												1.0			1.0																																																														
1304.																															1.0																																																														
1305																														2.0	11.0																																																														
1305-1306																															1.0																																																														
1306																															11.0																																																														
1307			1.0																												1.0																																																														
1310																															1.0																																																														
1312																										2.0																																																																			
1314																																	1.0																																																												
1315																																7.0																																																													
1315.																																	1.0																																																												
1316																																11.0	3.0	1.0																																																											
1316-1487																																1.0																																																													
1316-1540.																																1.0																																																													
1316.																																1.0																																																													
1318																																1.0																																																													
131v																																								1.0																																																					
1320			1.0																																																																																										
1320.			1.0																																																																																										
1321			1.0												1.0							1.0																																																																							
1321.			1.0																																																																																										
1322			1.0																																																																																										
1325																																2.0	7.0																																																												
1325-1579																																	1.0																																																												
1325.			1.0																																																																																										
1326																																	13.0																																																												
1326-01-12																																	1.0																																																												
1326-1590																																	1.0																																																												
1329.			1.0																																																																																										
133																																1.0																																																													
1330															2.0																	1.0																																																													
1332																																	1.0	1.0																																																											
1332.																																	1.0																																																												
1333																																1.0		2.0																																																											
1334																																									1.0																																																				
1335			1.0																															9.0																																																											
1335.																																		1.0																																																											
1336			1.0																															16.0																																																											
1336-02-06																																		1.0																																																											
1336-02-08																																		1.0																																																											
1336-12-03																																		1.0																																																											
1336-12-04																																		1.0																																																											
1336-1489																										1.0																																																																			
1337																																	1.0																																																												
134																																								1.0									1.0																																												
1340																																								1.0																																																					
1341																																		1.0						1.0																																																					
1342																																1.0																																																													
1342met																																			1.0																																																										
1343			1.0		1.0																																		1.0																																																						
1343.												1.0																																																																																	
1344																																			1.0																																																										
1344.																										1.0																																																																			
1345					1.0																					1.0									8.0																																																										
1345.																																			2.0																																																										
1346																																			10.0						2.0																																																				
1346-03-21																																			1.0																																																										
1346-04-09																																			1.0																																																										
1349.			1.0																											1.0																																																															
1350																																			1.0																																																										
1352																											1.0								1.0																																																										
1353-1379									1.0																																																																																				
1354																						1.0																																																																							
1355															1.0															1.0						10.0		1.0																																																							
1355-01-07																																				1.0																																																									
1355.																														1.0						1.0																																																									
1356																																				11.0		2.0			1.0																																																				
1356-02-21																																				1.0																																																									
1356-1591																																				1.0																																																									
1357															1.0																					1.0		1.0																																																							
1359															1.0																																																																														
1359.			1.0																																																																																										
136																																1.0																																																													
1360																																				1.0	1.0																																																								
1361																																					1.0																																																								
1362																																			1.0		1.0																																																								
1363.																																					1.0																																																								
1363/4																																					1.0																																																								
1364															1.0																																																																														
1364.																																					1.0																																																								
1365																																					13.0																																																								
1365-11-15																																					1.0																																																								
1365-1654																																					1.0																																																								
1366																																					6.0			1.0																																																					
1367																																1.0									2.0																																																				
1368																																1.0						1.0						1.0																																																	
1370																																								1.0																																																					
1372			1.0												1.0																																																																														
1373																	1.0																																																																												
1374-1376									1.0																																																																																				
1375																																1.0						11.0		1.0					1.0																																																
1375-02-28																																						1.0																																																							
1375-03-03																																						1.0																																																							
1375-09-15																																						1.0																																																							
1375-09-17																																						1.0																																																							
1375-12-05																																						1.0																																																							
1375-1392																																						1.0																																																							
1375-1510																																						1.0																																																							
1375-1637																																						1.0																																																							
1375-1796																																						1.0																																										1.0													
1375.			1.0																										1.0									1.0																																																							
1375met																																						1.0																																																							
1376			1.0						1.0								1.0																					4.0																																																							
1376.																																						1.0																																																							
1377									1.0						1.0																																																								1.0																						
1378															1.0																				1.0																																																										
1379															1.0																							1.0																																																							
138																																									1.0		1.0											1.0																																							
1380									1.0																															1.0																																																					
1382																																			1.0																																																										
1382.			1.0																																																																																										
1383			2.0						1.0																																	1.0	1.0																																																		
1383-1593									1.0																																																																																				
1384																																						2.0																																																							
1385																																							12.0																																																						
1385-02-24																																							1.0																																																						
1385-06-08																																							1.0																																																						
1385-08-14																																							1.0																																																						
1385.																																							1.0																																																						
1386																														1.0									4.0																																																						
1387			2.0																																				1.0	2.0																																																					
1388															2.0																																																																														
1388.			1.0																																																																																										
1389																																								1.0																																																					
1389-1638									1.0																																																																																				
1389.			1.0																																																																																										
138v																																									1.0																																																				
1391-1523																																		1.0																																																											
1392.																																	1.0																																																												
1393																																								1.0	2.0																																																				
1394																																								2.0																																																					
1394.																									1.0												1.0																																																								
1395																																								6.0																																																					
1395-07-01																																								1.0																																																					
1395-07-25																																								1.0																																																					
1395-1591									1.0																																																																																				
1396																	1.0																							15.0					1.0																																																
1396-01-25																																								1.0																																																					
1396-01-30																																								1.0																																																					
1396-02-07																																								2.0																																																					
1396-03-07																																								1.0																																																					
1396-03-24																																								1.0																																																					
1396-04-14																																								1.0																																																					
1396-1569																		1.0																																																																											
1396.																	1.0																																																																												
1396met																																								1.0																																																					
1397									1.0																																																																																				
1397.			1.0																																																																																										
1398	1.0																																									1.0																																																			
1399																									1.0														1.0																																																						
1399-1591									1.0																																																																																				
1399.		1.0																							1.0																																																																				
13e													1.0																																																																																
13gedrukt																																		2.0																																																											
13jacob																																																										1.0																																			
13½																																																1.0																																													
14																					1.0			1.0				1.0				1.0		2.0	1.0		1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0			1.0			2.0	1.0													1.0			1.0									2.0																
14/21																																																																				1.0																									
140																																			1.0																																						1.0																				
1400		1.0	1.0	1.0																																						1.0																																																			
1400.																																										1.0																																																			
1401				2.0																																																																																									
1402			1.0						2.0						1.0																			1.0																																																											
1403									1.0																																2.0																																																				
1403-1405																																1.0																																																													
1403-1595									1.0																																																																																				
1404						1.0																																			1.0	1.0																																																			
1405							1.0								5.0																										6.0	1.0	3.0																																																		
1405-04-29																																									1.0																																																				
1405-11-10																																									1.0																																																				
1405.			1.0																																																																																										
1406								2.0							5.0																				2.0						11.0	1.0																																																			
1406-03-23																																									1.0																																																				
1406-07-29																																									1.0																																																				
1406-08-21																																									1.0																																																				
1406-10-15																																									1.0																																																				
1406-11-14																																									1.0																																																				
1406-12-15																																									1.0																																																				
1406authentieke																																									1.0																																																				
1407	1.0																																	1.0																																																											
1407-1553									1.0																																																																																				
