	Titel	Datum
0	Akte van overdracht van twee stukken land te Heugem, (15e eeuw)	1096
2	Akte van overdracht door bisschop Otbert van Luik aan de kerk van Onze-Lieve-Vrouw van twee te Maastricht aan de Jeker gelegen molens met afschrift, 1096	1096
4	Akte van schout en schepenen van Cadier, (15e eeuw)	1096
6	Akte van verkoop doorLemKalfs aan Jacob van Voeren, kapelaan van de kerk van Onze-Lieve-Vrouw, van een rente van 1½ mud rogge ten laste van een huis te Bemelen, nr. 613	1096
8	Vonnis van de officiaal van het bisdom Luik uitgesproken tegen Martinus Roesen van Gellik, (16e eeuw)	1096
10	Door vocht aangetaste charters en fragmenten van charters, 8 charters	1096
12	Lijst van charters betreffende de heerlijkheden Ubbergen, Hemmen, Malden, Oploo, enz. (1095-10 hs)	01-01-1095
