	number	yr	yn	year
174	9	1175-1176	428983	1175
175	6	1176-1177	429349	1176
176	5	1177-1178	429714	1177
177	114	1178-1179	430079	1178
178	114	1179-1180	430444	1179
179	6	1180-1181	430810	1180
180	5	1181-1182	431175	1181
181	4	1182-1183	431540	1182
182	2	1183-1184	431905	1183
183	3	1184-1185	432271	1184
184	6	1185-1186	432636	1185
185	4	1186-1187	433001	1186
186	1	1187-1188	433366	1187
187	4	1188-1189	433732	1188
188	8	1189-1190	434097	1189
189	6	1190-1191	434462	1190
190	2	1191-1192	434827	1191
191	2	1192-1193	435193	1192
192	5	1193-1194	435558	1193
193	7	1194-1195	435923	1194
194	11	1195-1196	436288	1195
195	11	1196-1197	436654	1196
196	7	1197-1198	437019	1197
197	5	1198-1199	437384	1198
198	7	1201-1202	438480	1201
199	6	1202-1203	438845	1202
200	8	1203-1204	439210	1203
201	11	1204-1205	439576	1204
202	9	1205-1206	439941	1205
203	5	1206-1207	440306	1206
204	3	1207-1208	440671	1207
205	5	1208-1209	441037	1208
206	4	1209-1210	441402	1209
207	7	1210-1211	441767	1210
208	16	1211-1212	442132	1211
209	15	1212-1213	442498	1212
210	7	1213-1214	442863	1213
211	11	1214-1215	443228	1214
212	11	1215-1216	443593	1215
213	16	1216-1217	443959	1216
214	18	1217-1218	444324	1217
215	11	1218-1219	444689	1218
216	168	1219-1220	445054	1219
217	167	1220-1221	445420	1220
218	13	1221-1222	445785	1221
219	17	1222-1223	446150	1222
220	17	1223-1224	446515	1223
221	31	1224-1225	446881	1224
222	41	1225-1226	447246	1225
223	47	1226-1227	447611	1226
224	45	1227-1228	447976	1227
225	19	1228-1229	448342	1228
226	18	1229-1230	448707	1229
227	40	1230-1231	449072	1230
228	39	1231-1232	449437	1231
229	33	1232-1233	449803	1232
230	25	1233-1234	450168	1233
231	15	1234-1235	450533	1234
232	14	1235-1236	450898	1235
233	18	1236-1237	451264	1236
234	19	1237-1238	451629	1237
235	10	1238-1239	451994	1238
236	15	1239-1240	452359	1239
237	34	1240-1241	452725	1240
238	30	1241-1242	453090	1241
239	25	1242-1243	453455	1242
240	46	1243-1244	453820	1243
241	106	1244-1245	454186	1244
242	97	1245-1246	454551	1245
243	57	1246-1247	454916	1246
244	70	1247-1248	455281	1247
245	48	1248-1249	455647	1248
246	32	1249-1250	456012	1249
247	58	1250-1251	456377	1250
248	77	1251-1252	456742	1251
249	66	1252-1253	457108	1252
250	55	1253-1254	457473	1253
251	56	1254-1255	457838	1254
252	54	1255-1256	458203	1255
253	46	1256-1257	458569	1256
254	40	1257-1258	458934	1257
255	53	1258-1259	459299	1258
256	53	1259-1260	459664	1259
257	33	1260-1261	460030	1260
258	36	1261-1262	460395	1261
259	46	1262-1263	460760	1262
260	45	1263-1264	461125	1263
261	59	1264-1265	461491	1264
262	69	1265-1266	461856	1265
263	58	1266-1267	462221	1266
264	55	1267-1268	462586	1267
265	40	1268-1269	462952	1268
266	39	1269-1270	463317	1269
267	51	1270-1271	463682	1270
268	55	1271-1272	464047	1271
269	55	1272-1273	464413	1272
270	51	1273-1274	464778	1273
271	43	1274-1275	465143	1274
272	57	1275-1276	465508	1275
273	70	1276-1277	465874	1276
274	69	1277-1278	466239	1277
275	62	1278-1279	466604	1278
276	53	1279-1280	466969	1279
277	53	1280-1281	467335	1280
278	76	1281-1282	467700	1281
279	63	1282-1283	468065	1282
280	65	1283-1284	468430	1283
281	84	1284-1285	468796	1284
282	53	1285-1286	469161	1285
283	73	1286-1287	469526	1286
284	113	1287-1288	469891	1287
285	103	1288-1289	470257	1288
286	95	1289-1290	470622	1289
287	98	1290-1291	470987	1290
288	102	1291-1292	471352	1291
289	101	1292-1293	471718	1292
290	109	1293-1294	472083	1293
291	150	1294-1295	472448	1294
292	118	1295-1296	472813	1295
293	65	1296-1297	473179	1296
294	71	1297-1298	473544	1297
295	85	1298-1299	473909	1298
296	160	1300-1301	474639	1300
297	83	1301-1302	475004	1301
298	92	1302-1303	475369	1302
299	105	1303-1304	475734	1303
300	91	1304-1305	476100	1304
301	107	1305-1306	476465	1305
302	143	1306-1307	476830	1306
303	144	1307-1308	477195	1307
304	140	1308-1309	477561	1308
305	188	1309-1310	477926	1309
306	199	1310-1311	478291	1310
307	181	1311-1312	478656	1311
308	180	1312-1313	479022	1312
309	169	1313-1314	479387	1313
310	173	1314-1315	479752	1314
311	186	1315-1316	480117	1315
312	175	1316-1317	480483	1316
313	180	1317-1318	480848	1317
314	175	1318-1319	481213	1318
315	158	1319-1320	481578	1319
316	175	1320-1321	481944	1320
317	167	1321-1322	482309	1321
318	171	1322-1323	482674	1322
319	175	1323-1324	483039	1323
320	146	1324-1325	483405	1324
321	141	1325-1326	483770	1325
322	184	1326-1327	484135	1326
323	215	1327-1328	484500	1327
324	191	1328-1329	484866	1328
325	230	1329-1330	485231	1329
326	265	1330-1331	485596	1330
327	217	1331-1332	485961	1331
328	226	1332-1333	486327	1332
329	236	1333-1334	486692	1333
330	264	1334-1335	487057	1334
331	312	1335-1336	487422	1335
332	284	1336-1337	487788	1336
333	272	1337-1338	488153	1337
334	284	1338-1339	488518	1338
335	288	1339-1340	488883	1339
336	268	1340-1341	489249	1340
337	296	1341-1342	489614	1341
338	328	1342-1343	489979	1342
339	335	1343-1344	490344	1343
340	332	1344-1345	490710	1344
341	331	1345-1346	491075	1345
342	360	1346-1347	491440	1346
