	Titel	Datum
0	Akte van overdracht door Wynand van Messche c.s. aan de broederschap van tien schellingen jaarcijns op een huis op de Grote Gracht. Met retro-acta, 1398, 1407., 1407 oktober 27. reg. Doppler Schep. nrs. 1096, 1095, 1005	01-01-1005
2	Acte, waarbij hertog ARNOLD aan de stad Arnhem een jaarlijksche veemarkt vergunt, 1459. Met acte, waarbij hertog ADOLF belooft over de bevestiging van dit privilegie te zullen onderhandelen, 1465, alsmede acte, waarbij deze hertog verklaart een nadere beslissing over dit privilegie te zullen nemen, 1468. 3 chartersN.B. (Regesten 962, 1006, 1031).	01-01-1006
