	Titel	Datum
0	Akte waarbij koning Lotharius III de ruil bevestigt tussen het kapittel van Sint-Servaas en de kerk van de heilige Wigbertus te Hersfeld van de aan het kapittel toebehorende goederen te Monesheim en Dienheim tegen de kerk van Güls, 1126, afschrift 13e eeuw. reg. Dopplernr. 35	01-01-1126
2	Bisschop Godebald schenkt aan het kapittel zijn kerk geheten Tiesselenskerk in Holland, 1126 juli 8	1126
4	Acte waarbij Nicasius van Lierde bekent schuldig te zijn aan Samuel Becker 1125 gulden wegens aankoop van een tuin en huis aan het Walenpad. 1639	01-01-1125
