	Titel	Datum
0	Akte van overdracht door Henrich Kup aan het kapittel van een mark jaarcijns op een huis in de Guelkemanstraete, voor het jaargetijde van Henrich Moeme en zijn echtgenote Gertrud, 1405 april 26. reg. Doppler Schep. nr. 1065	01-01-1065
2	Akte van transport door Jan Cornelisz . c.s. aan bedijkers van de Bijlmermeer van resp. 1065, 282, 1284, 88, 1693, en 1563 roeden land gelegen op het Westeinde van de Bijlmer, 1628, jan. 31	01-01-1065
