	Titel	Datum
0	Akte van gerechtelijke toewijzing van een huis in de Ververhoek aan de rector van het altaar van de heilige Petrus in de crypte, wegens wanbetaling van de verschuldigde cijns. Met retroacte, 1399., 1400 april 28. reg. Doppler Schep. nrs. 1015, 1016	01-01-1015
2	Akte van transport door executeurs -testamentair van Klaas Taan te Oostzaandam en Adriaan Rogge te Westzaandam aan Cornelis Aarn. van der Markt te Westzaandam van een huis (verpondingscohier nr. 1015) en erf groot 27 roeden te Westzaandam op het Hollandse pad, 1802, feb. 2	01-01-1015
4	Bijlagen tot de eerste en laatste rekening van den stadssecretaris GIJSBERT Op TEN NOORTH over 1738-1740. 1 omslag en 23 chartersN.B. (Regesten 699, 701, 839, 956, 992, 1016).	01-01-1016
